id,type,title,director,cast,country,release_year,rating,duration,genre,description,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
41,TV Show,Control Z,,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha AcuÃ±a, Macarena GarcÃ­a, Fiona Palomo, AndrÃ©s Baida, Patricio Gallardo, IvÃ¡n AragÃ³n, Xabiani Ponce de LeÃ³n, Patricia Maqueo, Rodrigo Cachero, RocÃ­o Verdejo, Mauro SÃ¡nchez Navarro, Lidia San JosÃ©, Thanya LÃ³pez, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",Mexico,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas","When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant SofÃ­a works to uncover his/her identity.",18+,6.9/10,61/100,1,0,0,0
42,TV Show,Autumn's Concerto,,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",Taiwan,2009,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.",16+,8.0/10,50/100,1,0,0,0
43,TV Show,Office Girls,Hsu Fu-chun,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.",,6.9/10,40/100,1,0,0,0
44,TV Show,The Prince Who Turns into a Frog,,"Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang",Taiwan,2005,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.",,7.0/10,43/100,1,0,0,0
45,TV Show,Two Fathers,,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung",Taiwan,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.",,,18/100,1,0,0,0
46,TV Show,30 Rock,,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy",United States,2012,TV-14,7 Seasons,TV Comedies,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.,16+,8.2/10,84/100,0,1,1,0
47,TV Show,30 Rock,,,United States,2006,TV-14,7 Seasons,"Comedy, Sitcom","The life of the head writer at a late-night television variety show. From the creator and stars of SNL comes this workplace comedy. A brash network executive bullies head writer Liz Lemon into hiring an unstable movie star. A self-obsessed celeb, an arrogant boss, and a sensitive writing staff challenge Lemon to run a successful program â€“ without losing her mind.",16+,8.2/10,84/100,0,1,1,0
48,TV Show,44 Cats,,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,2020,TV-Y7,3 Seasons,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",7+,6.1/10,43/100,1,0,0,0
49,TV Show,Friday Night Lights,,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.,7+,8.6/10,83/100,0,1,1,0
50,TV Show,Friday Night Lights,,,,2006,TV-14,5 Seasons,Drama,"A small Texas town has high expectations for its top-ranked football team. Expanding on the hit feature film ""Friday Night Lights,"" this poignant series centers on the small rural town of Dillon, Texas, where the coveted state football championship rings are held in the highest regard.",7+,8.6/10,83/100,0,1,1,0
51,TV Show,Charmed,,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,2021,TV-14,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","After their motherâ€™s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",16+,4.6/10,62/100,1,0,0,0
52,TV Show,Centaurworld,,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies","On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs.",7+,7.1/10,42/100,1,0,0,0
53,TV Show,Outer Banks,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",18+,7.6/10,79/100,1,0,0,0
54,TV Show,Tattoo Redo,,,,2021,TV-MA,1 Season,Reality TV,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",,5.1/10,43/100,1,0,0,0
55,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,16+,7.6/10,88/100,1,0,0,0
56,TV Show,The Snitch Cartel: Origins,,"Juan Pablo Urrego, SebastiÃ¡n Osorio, Patricia Tamayo, VerÃ³nica VelÃ¡squez, MarÃ­a Camila ZÃ¡rate, Nicole SantamarÃ­a, Eduardo PÃ©rez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura RodrÃ­guez, AngÃ©lica BlandÃ³n, Maia Landaburu, JesÃºs de los RÃ­os",,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins.",,,51/100,1,0,0,0
57,TV Show,All American,,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",United States,2021,TV-14,3 Seasons,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when heâ€™s recruited to the Beverly Hills High School team.,16+,7.7/10,79/100,1,0,0,0
58,TV Show,How to Sell Drugs Online (Fast),,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne MÃ¤del, Roland Riebeling",Germany,2021,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Comedies","To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom â€“ and becomes one of Europe's biggest dealers.",18+,7.9/10,71/100,1,0,0,0
59,TV Show,Mighty Express,,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin","United States, Canada",2021,TV-Y,4 Seasons,Kids' TV,Catch a ride with the Mighty Express â€” a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!,all,5.0/10,40/100,1,0,0,0
60,TV Show,The Walking Dead,,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival.",18+,8.2/10,93/100,1,0,0,0
61,TV Show,Wynonna Earp,,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States",2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.,16+,7.5/10,78/100,1,0,0,0
62,TV Show,Feels Like Ishq,,"Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav",,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,,6.7/10,47/100,1,0,0,0
63,TV Show,Masters of the Universe: Revelation,,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",,2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy","After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the â€™80s classic.",7+,4.9/10,71/100,1,0,0,0
64,TV Show,Sky Rojo,,"VerÃ³nica SÃ¡nchez, Miguel Ãngel Silvestre, Asier Etxeandia, Lali EspÃ³sito, Yany Prado, Enric Auquer, Luis Zahera, Carmen SantamarÃ­a, Cecilia GÃ³mez, Godeliv Van den Brandt, PenÃ©lope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz",Spain,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.,18+,6.5/10,70/100,1,0,0,0
65,TV Show,The Movies That Made Us,,,United States,2021,TV-MA,2 Seasons,Docuseries,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.",18+,7.8/10,75/100,1,0,0,0
66,TV Show,Chicago Med,,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden",United States,2019,TV-14,5 Seasons,TV Dramas,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D.""",16+,7.6/10,71/100,1,1,0,0
67,TV Show,Chicago Med,,,United States,2015,TV-14,1 Season,"Drama, Romance","Executive producer Dick Wolf delivers the newest installment of the compelling â€œChicagoâ€ franchise, an emotional thrill ride through the day-to-day chaos of the cityâ€™s most explosive hospital and the courageous team of doctors who hold it together.",16+,7.6/10,71/100,1,1,0,0
